transit_timestamp,station_complex_id,station_complex,borough,ridership,transfers,latitude,longitude,hour,day_of_week,month,is_weekend,congestion_level
2024-09-02 08:00:00,407,Astor Pl (6),Manhattan,76.0,0,40.730053,-73.99107,8,0,9,0,Low
2024-09-02 08:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,179.0,1,40.725914,-73.99466,8,0,9,0,Low
2024-09-02 09:00:00,16,"8 St-NYU (R,W)",Manhattan,144.0,0,40.730328,-73.99263,9,0,9,0,Low
2024-09-02 09:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,298.0,9,40.732338,-74.000496,9,0,9,0,Low
2024-09-02 09:00:00,407,Astor Pl (6),Manhattan,153.0,0,40.730053,-73.99107,9,0,9,0,Low
2024-09-02 09:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,269.0,3,40.725914,-73.99466,9,0,9,0,Low
2024-09-02 10:00:00,16,"8 St-NYU (R,W)",Manhattan,232.0,0,40.730328,-73.99263,10,0,9,0,Low
2024-09-02 10:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,501.0,4,40.732338,-74.000496,10,0,9,0,Medium
2024-09-02 10:00:00,407,Astor Pl (6),Manhattan,286.0,0,40.730053,-73.99107,10,0,9,0,Low
2024-09-02 10:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,522.0,6,40.725914,-73.99466,10,0,9,0,Medium
2024-09-02 11:00:00,16,"8 St-NYU (R,W)",Manhattan,288.0,0,40.730328,-73.99263,11,0,9,0,Low
2024-09-02 11:00:00,167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,703.0,7,40.732338,-74.000496,11,0,9,0,High
2024-09-02 11:00:00,407,Astor Pl (6),Manhattan,312.0,0,40.730053,-73.99107,11,0,9,0,Medium
2024-09-02 11:00:00,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,766.0,0,40.725914,-73.99466,11,0,9,0,High
